,user_id,gender,education,birth
3565670,6504845,,,
3706369,117660,,,
6722276,2417804,,,
8379656,7139373,,,
6685899,1996994,female,,
7392412,6521675,,,
6617124,8094178,,,
8139237,7844050,,,
2402077,2376814,male,,
8251998,5043685,,,
5598580,5041824,,,
9274979,5082832,,,
8060149,6195229,,,
8869484,885883,,,
2083470,2863197,,,
7449113,531089,,,
1356102,4281269,,,
6304549,8556106,,,
4679812,8298618,,,
7439636,5085887,,,
7911178,8645001,,,
123218,5244263,,,
3488980,9156280,,,
3658217,96283,female,Bachelor's,1992.0
3884938,7076146,,,
7172778,1284797,,,
7564449,2183719,,,
7956160,3123009,,,
3234941,6659808,,,
5632145,557603,,,
8067264,8154399,,,
3562720,1404245,,,
2858642,1120706,female,,1995.0
2812782,5101611,,,
991849,9017650,,,
3611807,3050235,,,
1112879,10066010,,,
7439988,5650287,,,
5851015,4595735,,,
7905948,9932996,,,
2635497,169920,female,Bachelor's,1977.0
1762808,10264567,,,
8151784,8678457,,,
1089027,10427481,,,
1749954,8903965,,,
5175651,1962823,,,
6212228,5084479,,,
1084890,3400081,,,
4897543,10200270,,,
3263541,4286765,,,
8447715,10375839,,,
6184316,8729874,,,
2307756,5869320,,,
529263,10136962,,,
8886493,9462929,,,
2729636,6897573,,,
862823,4501636,,,
8040942,4326423,,,
5453960,4620765,,,
6026981,7003632,,,
328558,6472913,,,
3881946,1923946,female,,
3415215,6346952,,,
2281597,2176146,,,
9762,6569832,,,
2474643,3048046,,,
2854464,4441301,female,,
233603,8821889,,,
4391540,9131170,,,
6408991,1825728,,,
5269001,7397056,,,
5050885,4886146,,,
7677748,445147,male,Bachelor's,1996.0
772224,3768819,,,
4569565,5020076,,,
1891751,4421401,,,
1068429,6114270,,,
7140102,7172555,,,
103695,2580256,,,
3186683,6460996,,,
9414477,6926175,male,Bachelor's,
7988293,6665618,,,
8653160,1398545,,,
343469,1030919,male,,1996.0
1246292,1494642,female,,1996.0
9460366,3011161,,,
9387987,2770699,,,
3926115,5564173,,,
1778,3149631,,,
4721056,6749663,male,,
644134,670590,,,
9009567,3971512,,,
3308692,9430426,,,
1068713,6571270,,,
5998859,10361317,,,
7683650,180748,male,Associate,1989.0
7597114,6692925,,,
995227,4575452,,,
3019045,8075869,male,,1996.0
1726990,380162,,,
2930445,468822,female,High,1997.0
8561924,10149492,,,
6880213,5288636,,,
3172843,3444394,,,
4286470,4422041,,,
2770660,5117785,,,
2687539,6922346,,,
2149168,2014829,,,
7770039,4133966,,,
9162797,8650713,,,
6812102,1774424,,,
4584609,10045592,,,
4626434,9551227,,,
2518828,6633461,,,
8505170,5762670,,,
5895469,8554126,,,
1235175,3023640,,,
4997155,5605718,,,
5055451,2217555,,,
8707104,1062374,,,
2669015,6145143,,,
8421529,6692398,,,
118153,6768462,female,Associate,1999.0
692464,936402,,,
9244819,4912219,,,
1015385,8156860,,,
4329856,6475002,,,
4277194,9044721,,,
74033,3396249,,,
8104049,9313943,,,
2885694,6304542,,,
2185790,2910774,,,
8596293,7111315,,,
5032226,3889143,,,
4836382,8604639,,,
165794,5990274,,,
4310464,4323245,,,
6658794,7181989,,,
9578514,9643752,,,
9320223,10390809,,,
8018078,6247824,,,
8666425,3683755,male,,
2255844,9677492,,,
4637992,8782107,,,
2347962,2421871,,,
6265103,2715296,,,
4047852,8010925,,,
6838229,5451957,,,
7044654,8623102,,,
1027346,8014983,,,
9568201,2192151,,,
8472906,1938457,,,
